amount,prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,prefix_11,prefix_12,prefix_13,prefix_14,prefix_15,desired_cfs,idx,test_id,dataset,black_box
43299.41255,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,0,apreaccepted,0,0,0,acancelled,acancelled,aaccepted,acancelled,apreaccepted,wcompletepreacceptedappl,15.0,2,7,synthetic_bank_accepted,randomForestClassifier
43299.41255,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,adeclined,wfixincompletesubmission,0,0,odeclined,acancelled,afinalized,adeclined,acancelled,afinalized,odeclined,15.0,2,8,synthetic_bank_accepted,randomForestClassifier
43299.41255,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,adeclined,wfixincompletesubmission,0,0,wfixincompletesubmission,acancelled,afinalized,acancelled,acancelled,afinalized,afinalized,15.0,2,9,synthetic_bank_accepted,randomForestClassifier
45214.461950000004,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,adeclined,adeclined,0,apreaccepted,0,0,afinalized,acancelled,wcompletepreacceptedappl,afinalized,aaccepted,20.0,2,10,synthetic_bank_accepted,randomForestClassifier
51974.437150000005,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,adeclined,acancelled,wfixincompletesubmission,wfixincompletesubmission,0,0,adeclined,0,adeclined,adeclined,aaccepted,20.0,2,11,synthetic_bank_accepted,randomForestClassifier
52546.431650000006,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,adeclined,adeclined,apreaccepted,acancelled,0,0,acancelled,afinalized,acancelled,adeclined,wcompletepreacceptedappl,20.0,2,12,synthetic_bank_accepted,randomForestClassifier
54360.9999,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,adeclined,adeclined,0,0,adeclined,acancelled,adeclined,adeclined,aaccepted,oselected,afinalized,20.0,2,13,synthetic_bank_accepted,randomForestClassifier
50682.32655,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,adeclined,apreaccepted,acancelled,wcompletepreacceptedappl,aaccepted,0,aaccepted,0,odeclined,afinalized,odeclined,20.0,2,14,synthetic_bank_accepted,randomForestClassifier
55510.6484,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,adeclined,wcompletepreacceptedappl,odeclined,odeclined,aaccepted,adeclined,aaccepted,oselected,afinalized,5.0,3,0,synthetic_bank_accepted,randomForestClassifier
7125.65625,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,odeclined,acancelled,aaccepted,aaccepted,acancelled,afinalized,oselected,5.0,3,1,synthetic_bank_accepted,randomForestClassifier
7937.5272,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,odeclined,acancelled,aaccepted,aaccepted,acancelled,afinalized,oselected,5.0,3,2,synthetic_bank_accepted,randomForestClassifier
55024.91095,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,odeclined,acancelled,afinalized,afinalized,acancelled,oselected,ocreated,5.0,3,3,synthetic_bank_accepted,randomForestClassifier
9000.00015,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,odeclined,acancelled,wcompletepreacceptedappl,wcompletepreacceptedappl,acancelled,aaccepted,afinalized,5.0,3,4,synthetic_bank_accepted,randomForestClassifier
2630.98255,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,afinalized,oselected,oselected,ocreated,10.0,3,5,synthetic_bank_accepted,randomForestClassifier
9000.00015,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,afinalized,oselected,oselected,ocreated,10.0,3,6,synthetic_bank_accepted,randomForestClassifier
8634.643399999999,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,10.0,3,7,synthetic_bank_accepted,randomForestClassifier
8528.24645,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,afinalized,oselected,10.0,3,8,synthetic_bank_accepted,randomForestClassifier
8528.24645,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,afinalized,oselected,oselected,ocreated,10.0,3,9,synthetic_bank_accepted,randomForestClassifier
2238.0196499999997,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,afinalized,oselected,oselected,ocreated,15.0,3,10,synthetic_bank_accepted,randomForestClassifier
6574.83015,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,afinalized,oselected,15.0,3,11,synthetic_bank_accepted,randomForestClassifier
6574.83015,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,afinalized,oselected,oselected,ocreated,15.0,3,12,synthetic_bank_accepted,randomForestClassifier
6128.1581,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,afinalized,oselected,15.0,3,13,synthetic_bank_accepted,randomForestClassifier
6128.1581,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,afinalized,oselected,oselected,ocreated,15.0,3,14,synthetic_bank_accepted,randomForestClassifier
3293.8662,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,adeclined,oselected,oselected,ocreated,20.0,3,15,synthetic_bank_accepted,randomForestClassifier
3955.2951,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,adeclined,afinalized,afinalized,oselected,20.0,3,16,synthetic_bank_accepted,randomForestClassifier
18973.765049999998,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,adeclined,oselected,oselected,ocreated,20.0,3,17,synthetic_bank_accepted,randomForestClassifier
3400.40285,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,adeclined,oselected,oselected,ocreated,20.0,3,18,synthetic_bank_accepted,randomForestClassifier
3379.2795499999997,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,adeclined,oselected,oselected,ocreated,20.0,3,19,synthetic_bank_accepted,randomForestClassifier
53054.7158,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,wfixincompletesubmission,wfixincompletesubmission,wfixincompletesubmission,wfixincompletesubmission,acancelled,0,apreaccepted,0,odeclined,aaccepted,wcompletepreacceptedappl,5.0,4,0,synthetic_bank_accepted,randomForestClassifier
48364.26685,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,wfixincompletesubmission,wfixincompletesubmission,wfixincompletesubmission,adeclined,0,odeclined,wfixincompletesubmission,0,adeclined,aaccepted,oselected,5.0,4,1,synthetic_bank_accepted,randomForestClassifier
55640.08155,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,wfixincompletesubmission,acancelled,wcompletepreacceptedappl,odeclined,0,afinalized,acancelled,odeclined,adeclined,wcompletepreacceptedappl,5.0,4,2,synthetic_bank_accepted,randomForestClassifier
52594.8762,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,wfixincompletesubmission,apreaccepted,adeclined,wcompletepreacceptedappl,0,0,wcompletepreacceptedappl,adeclined,odeclined,adeclined,afinalized,5.0,4,3,synthetic_bank_accepted,randomForestClassifier
54039.469900000004,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,wfixincompletesubmission,wfixincompletesubmission,0,0,0,adeclined,acancelled,0,adeclined,aaccepted,oselected,10.0,4,4,synthetic_bank_accepted,randomForestClassifier
45112.909400000004,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,wfixincompletesubmission,wfixincompletesubmission,0,wfixincompletesubmission,0,acancelled,adeclined,0,aaccepted,afinalized,odeclined,10.0,4,5,synthetic_bank_accepted,randomForestClassifier
56892.6642,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,wfixincompletesubmission,wfixincompletesubmission,apreaccepted,apreaccepted,acancelled,0,wfixincompletesubmission,odeclined,aaccepted,aaccepted,wcompletepreacceptedappl,10.0,4,6,synthetic_bank_accepted,randomForestClassifier
41263.55345,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,wfixincompletesubmission,wfixincompletesubmission,apreaccepted,acancelled,apreaccepted,wcompletepreacceptedappl,aaccepted,odeclined,acancelled,aaccepted,aaccepted,10.0,4,7,synthetic_bank_accepted,randomForestClassifier
48182.321899999995,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,wfixincompletesubmission,wfixincompletesubmission,apreaccepted,adeclined,odeclined,wfixincompletesubmission,0,adeclined,acancelled,acancelled,wcompletepreacceptedappl,10.0,4,8,synthetic_bank_accepted,randomForestClassifier
45066.58565,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,wfixincompletesubmission,wfixincompletesubmission,apreaccepted,acancelled,wfixincompletesubmission,0,0,afinalized,apreaccepted,wcompletepreacceptedappl,afinalized,15.0,4,9,synthetic_bank_accepted,randomForestClassifier
45066.58565,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,wfixincompletesubmission,wfixincompletesubmission,apreaccepted,acancelled,wfixincompletesubmission,0,0,afinalized,apreaccepted,wcompletepreacceptedappl,odeclined,15.0,4,10,synthetic_bank_accepted,randomForestClassifier
53276.23985,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,wfixincompletesubmission,wfixincompletesubmission,apreaccepted,acancelled,acancelled,adeclined,0,aaccepted,afinalized,wcompletepreacceptedappl,ocreated,15.0,4,11,synthetic_bank_accepted,randomForestClassifier
52093.114499999996,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,acancelled,wfixincompletesubmission,acancelled,acancelled,odeclined,0,acancelled,acancelled,acancelled,acancelled,aaccepted,15.0,4,12,synthetic_bank_accepted,randomForestClassifier
41041.09055,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,wfixincompletesubmission,wfixincompletesubmission,wfixincompletesubmission,acancelled,aaccepted,0,adeclined,aaccepted,odeclined,adeclined,oselected,15.0,4,13,synthetic_bank_accepted,randomForestClassifier
46901.6733,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,wassessfraud,wfixincompletesubmission,acancelled,acancelled,apreaccepted,wfixincompletesubmission,acancelled,0,aaccepted,afinalized,wcompletepreacceptedappl,20.0,4,14,synthetic_bank_accepted,randomForestClassifier
56081.14414999999,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,wfixincompletesubmission,wfixincompletesubmission,0,acancelled,0,odeclined,afinalized,acancelled,adeclined,afinalized,acancelled,20.0,4,15,synthetic_bank_accepted,randomForestClassifier
54802.756049999996,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,wfixincompletesubmission,acancelled,acancelled,0,adeclined,aaccepted,odeclined,apreaccepted,aaccepted,wcompletepreacceptedappl,20.0,4,16,synthetic_bank_accepted,randomForestClassifier
53689.0308,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,wfixincompletesubmission,wfixincompletesubmission,apreaccepted,acancelled,adeclined,0,aaccepted,afinalized,odeclined,wcompletepreacceptedappl,acancelled,20.0,4,17,synthetic_bank_accepted,randomForestClassifier
49250.8432,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,wfixincompletesubmission,wfixincompletesubmission,adeclined,adeclined,0,odeclined,acancelled,0,acancelled,adeclined,oselected,20.0,4,18,synthetic_bank_accepted,randomForestClassifier
2189.7120499999996,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,afinalized,oselected,oselected,ocreated,5.0,5,0,synthetic_bank_accepted,randomForestClassifier
8338.896850000001,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,afinalized,oselected,oselected,ocreated,5.0,5,1,synthetic_bank_accepted,randomForestClassifier
39748.11315,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,5.0,5,2,synthetic_bank_accepted,randomForestClassifier
10036.9762,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,afinalized,oselected,5.0,5,3,synthetic_bank_accepted,randomForestClassifier
10036.9762,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,5.0,5,4,synthetic_bank_accepted,randomForestClassifier
7517.054399999999,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,odeclined,odeclined,aaccepted,adeclined,afinalized,afinalized,oselected,10.0,5,5,synthetic_bank_accepted,randomForestClassifier
3723.4706499999998,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,odeclined,aaccepted,aaccepted,adeclined,afinalized,afinalized,oselected,10.0,5,6,synthetic_bank_accepted,randomForestClassifier
16812.24965,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,odeclined,acancelled,aaccepted,adeclined,afinalized,afinalized,oselected,10.0,5,7,synthetic_bank_accepted,randomForestClassifier
2084.4492,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,odeclined,aaccepted,aaccepted,adeclined,afinalized,afinalized,oselected,10.0,5,8,synthetic_bank_accepted,randomForestClassifier
2162.4237999999996,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,odeclined,aaccepted,adeclined,afinalized,afinalized,oselected,10.0,5,9,synthetic_bank_accepted,randomForestClassifier
56874.630249999995,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,adeclined,odeclined,adeclined,adeclined,aaccepted,acancelled,afinalized,15.0,5,10,synthetic_bank_accepted,randomForestClassifier
33657.90155,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,odeclined,odeclined,adeclined,aaccepted,aaccepted,acancelled,afinalized,15.0,5,11,synthetic_bank_accepted,randomForestClassifier
5355.3806,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,odeclined,odeclined,acancelled,adeclined,afinalized,afinalized,oselected,15.0,5,12,synthetic_bank_accepted,randomForestClassifier
4773.8898,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,odeclined,odeclined,adeclined,aaccepted,aaccepted,aaccepted,afinalized,15.0,5,13,synthetic_bank_accepted,randomForestClassifier
2298.50095,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,odeclined,adeclined,adeclined,afinalized,afinalized,oselected,15.0,5,14,synthetic_bank_accepted,randomForestClassifier
9454.8914,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,odeclined,odeclined,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,20.0,5,15,synthetic_bank_accepted,randomForestClassifier
31367.38805,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,odeclined,odeclined,aaccepted,aaccepted,afinalized,afinalized,oselected,20.0,5,16,synthetic_bank_accepted,randomForestClassifier
3332.0197,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,odeclined,odeclined,aaccepted,aaccepted,afinalized,afinalized,oselected,20.0,5,17,synthetic_bank_accepted,randomForestClassifier
33436.0123,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,odeclined,odeclined,aaccepted,aaccepted,afinalized,afinalized,oselected,20.0,5,18,synthetic_bank_accepted,randomForestClassifier
34046.799399999996,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,odeclined,odeclined,aaccepted,aaccepted,afinalized,afinalized,oselected,20.0,5,19,synthetic_bank_accepted,randomForestClassifier
47269.1943,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,aaccepted,oselected,oselected,ocreated,5.0,6,0,synthetic_bank_accepted,randomForestClassifier
2835.3994,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,0,aaccepted,adeclined,acancelled,aaccepted,oselected,0,ocreated,5.0,6,1,synthetic_bank_accepted,randomForestClassifier
2835.3994,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,acancelled,wcompletepreacceptedappl,adeclined,aaccepted,acancelled,aaccepted,acancelled,0,odeclined,5.0,6,2,synthetic_bank_accepted,randomForestClassifier
40580.52055,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,0,wcompletepreacceptedappl,aaccepted,acancelled,acancelled,aaccepted,oselected,0,ocreated,5.0,6,3,synthetic_bank_accepted,randomForestClassifier
46550.84865,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,afinalized,oselected,oselected,ocreated,10.0,6,4,synthetic_bank_accepted,randomForestClassifier
46615.18105,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,afinalized,oselected,oselected,ocreated,10.0,6,5,synthetic_bank_accepted,randomForestClassifier
3554.1795500000003,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,wfixincompletesubmission,afinalized,afinalized,oselected,oselected,ocreated,10.0,6,6,synthetic_bank_accepted,randomForestClassifier
