prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,desired_cfs,idx,test_id,dataset,black_box
Register,Create Questionnaire,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,20.0,3,15,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,0,20.0,3,16,synthetic_data,randomForestClassifier
Register,Create Questionnaire,High Medical History,Contact Hospital,High Insurance Check,Accept Claim,Prepare Notification Content,20.0,3,17,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,Low Insurance Check,Accept Claim,Send Notification by e-mail,Prepare Notification Content,20.0,3,18,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,Low Insurance Check,Accept Claim,Reject Claim,Send Notification by Phone,20.0,3,19,synthetic_data,randomForestClassifier
Register,High Medical History,High Insurance Check,Contact Hospital,Accept Claim,Prepare Notification Content,0,5.0,4,0,synthetic_data,randomForestClassifier
Register,High Medical History,High Insurance Check,Contact Hospital,Accept Claim,Create Questionnaire,Prepare Notification Content,5.0,4,1,synthetic_data,randomForestClassifier
Register,High Medical History,Low Insurance Check,Contact Hospital,Accept Claim,Accept Claim,Send Notification by Post,5.0,4,2,synthetic_data,randomForestClassifier
Register,High Insurance Check,Contact Hospital,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,5.0,4,3,synthetic_data,randomForestClassifier
Register,Create Questionnaire,High Insurance Check,Contact Hospital,High Medical History,Accept Claim,Prepare Notification Content,5.0,4,4,synthetic_data,randomForestClassifier
Register,High Medical History,High Insurance Check,Contact Hospital,Accept Claim,Prepare Notification Content,0,10.0,4,5,synthetic_data,randomForestClassifier
Register,High Medical History,High Insurance Check,Contact Hospital,Accept Claim,Prepare Notification Content,Send Notification by Phone,10.0,4,6,synthetic_data,randomForestClassifier
Register,High Medical History,High Insurance Check,Contact Hospital,Accept Claim,Contact Hospital,Send Notification by Post,10.0,4,7,synthetic_data,randomForestClassifier
Register,High Medical History,Send Questionnaire,Contact Hospital,High Medical History,Prepare Notification Content,Send Notification by Post,10.0,4,8,synthetic_data,randomForestClassifier
Register,High Medical History,High Insurance Check,Contact Hospital,Accept Claim,Prepare Notification Content,Create Questionnaire,10.0,4,9,synthetic_data,randomForestClassifier
Register,High Medical History,High Insurance Check,Contact Hospital,Accept Claim,Prepare Notification Content,0,15.0,4,10,synthetic_data,randomForestClassifier
Register,High Medical History,High Insurance Check,Contact Hospital,Accept Claim,Prepare Notification Content,Create Questionnaire,15.0,4,11,synthetic_data,randomForestClassifier
Register,High Medical History,High Insurance Check,Contact Hospital,Accept Claim,Prepare Notification Content,Send Notification by Phone,15.0,4,12,synthetic_data,randomForestClassifier
Register,High Medical History,High Insurance Check,Accept Claim,Accept Claim,Accept Claim,Send Notification by Post,15.0,4,13,synthetic_data,randomForestClassifier
Register,High Medical History,High Insurance Check,Contact Hospital,Accept Claim,Create Questionnaire,Prepare Notification Content,15.0,4,14,synthetic_data,randomForestClassifier
Register,High Medical History,High Insurance Check,Contact Hospital,Accept Claim,Prepare Notification Content,Create Questionnaire,20.0,4,15,synthetic_data,randomForestClassifier
Register,High Medical History,High Insurance Check,Contact Hospital,Accept Claim,Prepare Notification Content,Send Notification by e-mail,20.0,4,16,synthetic_data,randomForestClassifier
Register,High Medical History,High Insurance Check,Contact Hospital,Accept Claim,Send Questionnaire,Send Notification by Post,20.0,4,17,synthetic_data,randomForestClassifier
Register,High Medical History,High Insurance Check,Contact Hospital,Accept Claim,Prepare Notification Content,0,20.0,4,18,synthetic_data,randomForestClassifier
Register,High Medical History,High Insurance Check,Contact Hospital,Accept Claim,Prepare Notification Content,Send Notification by Phone,20.0,4,19,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,Create Questionnaire,0,5.0,5,0,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,0,0,5.0,5,1,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,High Insurance Check,Prepare Notification Content,Create Questionnaire,Create Questionnaire,5.0,5,2,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by Phone,0,5.0,5,3,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Medical History,Accept Claim,Prepare Notification Content,Create Questionnaire,0,5.0,5,4,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,Create Questionnaire,0,10.0,5,5,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,0,0,10.0,5,6,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by Phone,0,10.0,5,7,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by e-mail,0,10.0,5,8,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Insurance Check,High Insurance Check,Prepare Notification Content,Accept Claim,0,10.0,5,9,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,Create Questionnaire,0,15.0,5,10,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,0,0,15.0,5,11,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by Phone,0,15.0,5,12,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by e-mail,0,15.0,5,13,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,Accept Claim,Create Questionnaire,0,0,15.0,5,14,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,Create Questionnaire,0,20.0,5,15,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,0,0,20.0,5,16,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by Phone,0,20.0,5,17,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by e-mail,0,20.0,5,18,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Medical History,Accept Claim,Prepare Notification Content,Create Questionnaire,0,20.0,5,19,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Insurance Check,Low Medical History,Accept Claim,Prepare Notification Content,0,5.0,6,0,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Insurance Check,Low Medical History,Accept Claim,0,0,5.0,6,1,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,Accept Claim,Create Questionnaire,Prepare Notification Content,0,5.0,6,2,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Create Questionnaire,Low Medical History,Accept Claim,Prepare Notification Content,0,5.0,6,3,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,0,5.0,6,4,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Insurance Check,Low Medical History,Accept Claim,Prepare Notification Content,0,10.0,6,5,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Insurance Check,Low Medical History,Accept Claim,0,0,10.0,6,6,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,Accept Claim,Create Questionnaire,Prepare Notification Content,0,10.0,6,7,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Create Questionnaire,Low Medical History,Accept Claim,Prepare Notification Content,0,10.0,6,8,synthetic_data,randomForestClassifier
Register,Contact Hospital,Send Questionnaire,Low Medical History,Accept Claim,Prepare Notification Content,0,10.0,6,9,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Insurance Check,Low Medical History,Accept Claim,Prepare Notification Content,0,15.0,6,10,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Insurance Check,Low Medical History,Accept Claim,0,0,15.0,6,11,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Insurance Check,Low Insurance Check,Accept Claim,Prepare Notification Content,0,15.0,6,12,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Insurance Check,Accept Claim,Contact Hospital,Send Notification by Phone,0,15.0,6,13,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Insurance Check,High Insurance Check,High Insurance Check,Prepare Notification Content,Send Notification by Phone,15.0,6,14,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Insurance Check,Low Medical History,Accept Claim,Prepare Notification Content,0,20.0,6,15,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Insurance Check,Low Medical History,Accept Claim,0,0,20.0,6,16,synthetic_data,randomForestClassifier
Register,Contact Hospital,Low Insurance Check,Create Questionnaire,High Medical History,Prepare Notification Content,0,20.0,6,17,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Insurance Check,Reject Claim,Accept Claim,Prepare Notification Content,Send Questionnaire,20.0,6,18,synthetic_data,randomForestClassifier
Register,Contact Hospital,Low Insurance Check,Create Questionnaire,Prepare Notification Content,Prepare Notification Content,0,20.0,6,19,synthetic_data,randomForestClassifier
Register,Low Medical History,Create Questionnaire,Low Insurance Check,Accept Claim,Prepare Notification Content,0,5.0,7,0,synthetic_data,randomForestClassifier
Register,Low Medical History,Create Questionnaire,Low Insurance Check,Accept Claim,0,0,5.0,7,1,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,0,5.0,7,2,synthetic_data,randomForestClassifier
Register,Low Medical History,Create Questionnaire,Low Insurance Check,Low Insurance Check,0,Contact Hospital,5.0,7,3,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Create Questionnaire,Low Medical History,Accept Claim,Prepare Notification Content,0,5.0,7,4,synthetic_data,randomForestClassifier
Register,Low Medical History,Create Questionnaire,Low Insurance Check,Accept Claim,Prepare Notification Content,0,10.0,7,5,synthetic_data,randomForestClassifier
Register,Low Medical History,Create Questionnaire,Low Insurance Check,Accept Claim,Send Questionnaire,0,10.0,7,6,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,0,10.0,7,7,synthetic_data,randomForestClassifier
Register,Low Medical History,Create Questionnaire,Contact Hospital,Accept Claim,Send Notification by e-mail,0,10.0,7,8,synthetic_data,randomForestClassifier
Register,Low Medical History,Create Questionnaire,Contact Hospital,Accept Claim,Prepare Notification Content,Reject Claim,10.0,7,9,synthetic_data,randomForestClassifier
Register,Low Medical History,Create Questionnaire,Low Insurance Check,Accept Claim,Prepare Notification Content,0,15.0,7,10,synthetic_data,randomForestClassifier
Register,Low Medical History,Create Questionnaire,Low Insurance Check,Accept Claim,Send Questionnaire,0,15.0,7,11,synthetic_data,randomForestClassifier
Register,Low Medical History,High Medical History,Contact Hospital,High Medical History,Prepare Notification Content,0,15.0,7,12,synthetic_data,randomForestClassifier
Register,High Insurance Check,Send Questionnaire,Low Insurance Check,Accept Claim,Prepare Notification Content,0,15.0,7,13,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Create Questionnaire,Low Insurance Check,Accept Claim,Accept Claim,0,15.0,7,14,synthetic_data,randomForestClassifier
Register,Low Medical History,Create Questionnaire,Low Insurance Check,Accept Claim,Prepare Notification Content,0,20.0,7,15,synthetic_data,randomForestClassifier
Register,Low Medical History,Low Insurance Check,Low Insurance Check,Prepare Notification Content,Prepare Notification Content,0,20.0,7,16,synthetic_data,randomForestClassifier
Register,Low Medical History,Create Questionnaire,Low Insurance Check,Contact Hospital,Contact Hospital,0,20.0,7,17,synthetic_data,randomForestClassifier
Register,Low Medical History,Create Questionnaire,Low Insurance Check,Accept Claim,Send Questionnaire,0,20.0,7,18,synthetic_data,randomForestClassifier
Register,Low Medical History,Create Questionnaire,Low Insurance Check,Accept Claim,0,0,20.0,7,19,synthetic_data,randomForestClassifier
Register,High Insurance Check,High Medical History,Reject Claim,High Medical History,0,Send Notification by Phone,5.0,8,0,synthetic_data,randomForestClassifier
Register,High Insurance Check,High Medical History,Contact Hospital,Accept Claim,Create Questionnaire,Prepare Notification Content,5.0,8,1,synthetic_data,randomForestClassifier
Register,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by Phone,5.0,8,2,synthetic_data,randomForestClassifier
Register,Low Insurance Check,High Medical History,Accept Claim,Low Medical History,Accept Claim,Send Notification by Phone,5.0,8,3,synthetic_data,randomForestClassifier
Register,High Insurance Check,Low Medical History,Contact Hospital,High Insurance Check,High Medical History,Send Notification by Post,5.0,8,4,synthetic_data,randomForestClassifier
Register,High Insurance Check,High Medical History,Contact Hospital,Accept Claim,Prepare Notification Content,Send Notification by e-mail,10.0,8,5,synthetic_data,randomForestClassifier
Register,High Insurance Check,High Medical History,Contact Hospital,Accept Claim,Prepare Notification Content,Create Questionnaire,10.0,8,6,synthetic_data,randomForestClassifier
Register,High Medical History,High Insurance Check,Contact Hospital,Accept Claim,Prepare Notification Content,Send Notification by Phone,10.0,8,7,synthetic_data,randomForestClassifier
Register,High Insurance Check,High Medical History,Contact Hospital,Accept Claim,Create Questionnaire,0,10.0,8,8,synthetic_data,randomForestClassifier
Register,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by Phone,10.0,8,9,synthetic_data,randomForestClassifier
Register,High Insurance Check,High Medical History,Contact Hospital,Accept Claim,Prepare Notification Content,Create Questionnaire,15.0,8,10,synthetic_data,randomForestClassifier
Register,High Insurance Check,High Medical History,Contact Hospital,High Medical History,0,Send Notification by Phone,15.0,8,11,synthetic_data,randomForestClassifier
Register,High Insurance Check,High Medical History,Contact Hospital,Accept Claim,Prepare Notification Content,Send Notification by e-mail,15.0,8,12,synthetic_data,randomForestClassifier
Register,High Medical History,High Medical History,Low Medical History,Accept Claim,Prepare Notification Content,Send Notification by Phone,15.0,8,13,synthetic_data,randomForestClassifier
Register,High Insurance Check,High Medical History,Contact Hospital,Accept Claim,Create Questionnaire,Prepare Notification Content,15.0,8,14,synthetic_data,randomForestClassifier
Register,High Insurance Check,High Medical History,Contact Hospital,Accept Claim,Prepare Notification Content,Create Questionnaire,20.0,8,15,synthetic_data,randomForestClassifier
Register,High Insurance Check,High Medical History,Contact Hospital,Contact Hospital,0,Send Notification by Phone,20.0,8,16,synthetic_data,randomForestClassifier
Register,High Insurance Check,High Medical History,Contact Hospital,Accept Claim,Prepare Notification Content,Send Notification by e-mail,20.0,8,17,synthetic_data,randomForestClassifier
Register,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by Phone,20.0,8,18,synthetic_data,randomForestClassifier
Register,High Insurance Check,High Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,Contact Hospital,20.0,8,19,synthetic_data,randomForestClassifier
Register,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,0,5.0,9,0,synthetic_data,randomForestClassifier
Register,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by Phone,5.0,9,1,synthetic_data,randomForestClassifier
Register,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Create Questionnaire,0,5.0,9,2,synthetic_data,randomForestClassifier
Register,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Create Questionnaire,Prepare Notification Content,5.0,9,3,synthetic_data,randomForestClassifier
Register,High Medical History,Contact Hospital,High Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by Phone,5.0,9,4,synthetic_data,randomForestClassifier
Register,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,0,10.0,9,5,synthetic_data,randomForestClassifier
Register,Contact Hospital,Low Insurance Check,High Insurance Check,Low Medical History,Prepare Notification Content,Send Notification by Post,10.0,9,6,synthetic_data,randomForestClassifier
Register,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by Phone,10.0,9,7,synthetic_data,randomForestClassifier
Register,Contact Hospital,High Medical History,Accept Claim,Prepare Notification Content,Prepare Notification Content,Send Notification by e-mail,10.0,9,8,synthetic_data,randomForestClassifier
Register,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Create Questionnaire,0,10.0,9,9,synthetic_data,randomForestClassifier
Register,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by Phone,15.0,9,10,synthetic_data,randomForestClassifier
Register,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,0,15.0,9,11,synthetic_data,randomForestClassifier
Register,Low Insurance Check,High Medical History,High Insurance Check,Create Questionnaire,Prepare Notification Content,Contact Hospital,15.0,9,12,synthetic_data,randomForestClassifier
Register,Low Insurance Check,High Medical History,High Insurance Check,Create Questionnaire,Prepare Notification Content,Reject Claim,15.0,9,13,synthetic_data,randomForestClassifier
Register,Contact Hospital,Low Insurance Check,High Insurance Check,Low Medical History,Prepare Notification Content,Send Questionnaire,15.0,9,14,synthetic_data,randomForestClassifier
Register,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by Post,20.0,9,15,synthetic_data,randomForestClassifier
Register,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by e-mail,20.0,9,16,synthetic_data,randomForestClassifier
Register,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by Phone,20.0,9,17,synthetic_data,randomForestClassifier
Register,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,0,20.0,9,18,synthetic_data,randomForestClassifier
Register,Contact Hospital,Send Questionnaire,High Insurance Check,Prepare Notification Content,Prepare Notification Content,Send Notification by e-mail,20.0,9,19,synthetic_data,randomForestClassifier
Register,High Medical History,Contact Hospital,High Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by Phone,5.0,10,0,synthetic_data,randomForestClassifier
Register,High Medical History,Contact Hospital,High Insurance Check,Accept Claim,Prepare Notification Content,Create Questionnaire,5.0,10,1,synthetic_data,randomForestClassifier
Register,Contact Hospital,Contact Hospital,Create Questionnaire,High Insurance Check,0,Send Questionnaire,5.0,10,2,synthetic_data,randomForestClassifier
Register,Contact Hospital,Send Questionnaire,High Insurance Check,High Insurance Check,High Medical History,Send Questionnaire,5.0,10,3,synthetic_data,randomForestClassifier
Register,High Medical History,High Medical History,High Insurance Check,High Insurance Check,Contact Hospital,0,5.0,10,4,synthetic_data,randomForestClassifier
Register,High Medical History,Contact Hospital,High Insurance Check,Accept Claim,Create Questionnaire,Prepare Notification Content,10.0,10,5,synthetic_data,randomForestClassifier
Register,High Medical History,Low Insurance Check,Low Medical History,Contact Hospital,Create Questionnaire,Send Questionnaire,10.0,10,6,synthetic_data,randomForestClassifier
Register,High Medical History,Contact Hospital,High Insurance Check,Accept Claim,Prepare Notification Content,0,10.0,10,7,synthetic_data,randomForestClassifier
Register,High Medical History,Create Questionnaire,High Insurance Check,Accept Claim,Create Questionnaire,Prepare Notification Content,10.0,10,8,synthetic_data,randomForestClassifier
Register,High Medical History,Contact Hospital,High Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by Post,10.0,10,9,synthetic_data,randomForestClassifier
Register,High Medical History,Contact Hospital,High Insurance Check,Accept Claim,Create Questionnaire,0,15.0,10,10,synthetic_data,randomForestClassifier
Register,High Medical History,Contact Hospital,High Insurance Check,Accept Claim,Create Questionnaire,Prepare Notification Content,15.0,10,11,synthetic_data,randomForestClassifier
Register,High Medical History,Send Questionnaire,High Insurance Check,Prepare Notification Content,Create Questionnaire,Prepare Notification Content,15.0,10,12,synthetic_data,randomForestClassifier
