Case ID;concept:name;Resource;start:timestamp;time:timestamp;label;lifecycle:transition;Activity
81801;Traer informacion estudiante - banner;8997;2016-02-03 09:13:10.000;2016-02-03 09:13:10.000;deviant;complete;Traer informacion estudiante - banner
81801;Radicar Solicitud Homologacion;8997;2016-02-03 09:13:17.000;2016-02-03 09:13:57.000;deviant;complete;Radicar Solicitud Homologacion
81801;Validar solicitud;19019;2016-02-03 09:54:00.000;2016-02-03 09:54:00.000;deviant;complete;Validar solicitud
81801;End;End;2016-02-03 09:54:00.000;2016-02-03 09:54:00.000;deviant;complete;End
81802;Start;Start;2016-02-03 09:22:13.000;2016-02-03 09:22:13.000;deviant;complete;Start
81802;Traer informacion estudiante - banner;8997;2016-02-03 09:22:13.000;2016-02-03 09:22:13.000;deviant;complete;Traer informacion estudiante - banner
81802;Radicar Solicitud Homologacion;8997;2016-02-03 09:22:14.000;2016-02-03 09:22:19.000;deviant;complete;Radicar Solicitud Homologacion
81802;Validar solicitud;387;2016-02-03 09:27:40.000;2016-02-03 09:29:03.000;deviant;complete;Validar solicitud
81802;Homologacion por grupo de cursos;1007;2016-02-03 10:51:35.000;2016-02-03 19:39:09.000;deviant;complete;Homologacion por grupo de cursos
81802;End;End;2016-02-03 19:39:09.000;2016-02-03 19:39:09.000;deviant;complete;End
81803;Start;Start;2016-02-03 09:29:30.000;2016-02-03 09:29:30.000;deviant;complete;Start
81803;Traer informacion estudiante - banner;8997;2016-02-03 09:29:30.000;2016-02-03 09:29:30.000;deviant;complete;Traer informacion estudiante - banner
81803;Radicar Solicitud Homologacion;8997;2016-02-03 09:29:31.000;2016-02-03 09:29:38.000;deviant;complete;Radicar Solicitud Homologacion
81803;Validar solicitud;387;2016-02-03 09:36:58.000;2016-02-03 09:38:13.000;deviant;complete;Validar solicitud
81803;Homologacion por grupo de cursos;22491;2016-02-03 10:52:29.000;2016-02-03 13:57:36.000;deviant;complete;Homologacion por grupo de cursos
81803;End;End;2016-02-03 13:57:36.000;2016-02-03 13:57:36.000;deviant;complete;End
81804;Start;Start;2016-02-03 09:39:44.000;2016-02-03 09:39:44.000;deviant;complete;Start
81804;Traer informacion estudiante - banner;8997;2016-02-03 09:39:44.000;2016-02-03 09:39:44.000;deviant;complete;Traer informacion estudiante - banner
81804;Radicar Solicitud Homologacion;8997;2016-02-03 09:39:45.000;2016-02-03 09:39:54.000;deviant;complete;Radicar Solicitud Homologacion
81804;Validar solicitud;387;2016-02-03 09:49:16.000;2016-02-03 09:50:19.000;deviant;complete;Validar solicitud
81804;Homologacion por grupo de cursos;1007;2016-02-03 10:52:59.000;2016-02-03 11:12:02.000;deviant;complete;Homologacion por grupo de cursos
81804;End;End;2016-02-03 11:12:02.000;2016-02-03 11:12:02.000;deviant;complete;End
81805;Start;Start;2016-02-03 09:54:27.000;2016-02-03 09:54:27.000;deviant;complete;Start
81805;Traer informacion estudiante - banner;8997;2016-02-03 09:54:27.000;2016-02-03 09:54:27.000;deviant;complete;Traer informacion estudiante - banner
81805;Radicar Solicitud Homologacion;8997;2016-02-03 09:54:28.000;2016-02-03 09:54:32.000;deviant;complete;Radicar Solicitud Homologacion
81805;Validar solicitud;387;2016-02-03 09:58:47.000;2016-02-03 09:59:42.000;deviant;complete;Validar solicitud
81805;Homologacion por grupo de cursos;1007;2016-02-03 10:54:40.000;2016-02-03 11:13:43.000;deviant;complete;Homologacion por grupo de cursos
81805;End;End;2016-02-03 11:13:43.000;2016-02-03 11:13:43.000;deviant;complete;End
81851;Start;Start;2016-02-03 07:24:22.000;2016-02-03 07:24:22.000;deviant;complete;Start
81851;Traer informacion estudiante - banner;955;2016-02-03 07:24:22.000;2016-02-03 07:24:22.000;deviant;complete;Traer informacion estudiante - banner
81851;Radicar Solicitud Homologacion;955;2016-02-03 07:24:26.000;2016-02-03 07:30:27.000;deviant;complete;Radicar Solicitud Homologacion
81851;Cancelar Solicitud;22475;2016-02-03 16:01:07.000;2016-02-03 16:17:37.000;deviant;complete;Cancelar Solicitud
81851;Notificacion estudiante cancelacion soli;22475;2016-02-05 16:31:27.000;2016-02-05 16:31:27.000;deviant;complete;Notificacion estudiante cancelacion soli
81851;End;End;2016-02-05 16:31:27.000;2016-02-05 16:31:27.000;deviant;complete;End
81951;Start;Start;2016-02-03 14:22:37.000;2016-02-03 14:22:37.000;deviant;complete;Start
81951;Traer informacion estudiante - banner;8443;2016-02-03 14:22:37.000;2016-02-03 14:22:37.000;deviant;complete;Traer informacion estudiante - banner
81951;Radicar Solicitud Homologacion;8443;2016-02-03 14:22:41.000;2016-02-03 14:50:18.000;deviant;complete;Radicar Solicitud Homologacion
81951;Cancelar Solicitud;8443;2016-02-08 20:52:53.000;2016-02-08 22:18:13.000;deviant;complete;Cancelar Solicitud
81951;Notificacion estudiante cancelacion soli;8443;2016-02-23 15:20:40.000;2016-02-23 15:20:40.000;deviant;complete;Notificacion estudiante cancelacion soli
81951;End;End;2016-02-23 15:20:40.000;2016-02-23 15:20:40.000;deviant;complete;End
82008;Start;Start;2016-02-03 16:08:17.000;2016-02-03 16:08:17.000;deviant;complete;Start
82008;Traer informacion estudiante - banner;955;2016-02-03 16:08:17.000;2016-02-03 16:08:17.000;deviant;complete;Traer informacion estudiante - banner
82008;Radicar Solicitud Homologacion;955;2016-02-03 16:08:18.000;2016-02-03 16:08:29.000;deviant;complete;Radicar Solicitud Homologacion
82008;Validar solicitud;1707;2016-02-03 16:19:36.000;2016-02-03 17:04:55.000;deviant;complete;Validar solicitud
82008;Homologacion por grupo de cursos;15930;2016-02-11 11:39:20.000;2016-02-11 13:55:40.000;deviant;complete;Homologacion por grupo de cursos
82008;End;End;2016-02-11 13:55:40.000;2016-02-11 13:55:40.000;deviant;complete;End
82009;Start;Start;2016-02-03 16:20:30.000;2016-02-03 16:20:30.000;deviant;complete;Start
82009;Traer informacion estudiante - banner;955;2016-02-03 16:20:30.000;2016-02-03 16:20:30.000;deviant;complete;Traer informacion estudiante - banner
82009;Radicar Solicitud Homologacion;955;2016-02-03 16:20:31.000;2016-02-03 16:20:39.000;deviant;complete;Radicar Solicitud Homologacion
82009;Validar solicitud;1707;2016-02-03 16:28:42.000;2016-02-03 17:13:51.000;deviant;complete;Validar solicitud
82009;Homologacion por grupo de cursos;15930;2016-02-11 11:37:42.000;2016-02-11 13:51:10.000;deviant;complete;Homologacion por grupo de cursos
82009;End;End;2016-02-11 13:51:10.000;2016-02-11 13:51:10.000;deviant;complete;End
82054;Start;Start;2016-02-03 19:15:40.000;2016-02-03 19:15:40.000;deviant;complete;Start
82054;Traer informacion estudiante - banner;18289;2016-02-03 19:15:40.000;2016-02-03 19:15:40.000;deviant;complete;Traer informacion estudiante - banner
82054;Radicar Solicitud Homologacion;18289;2016-02-03 19:15:41.000;2016-02-03 19:15:41.000;deviant;complete;Radicar Solicitud Homologacion
82054;Validar solicitud;22475;2016-02-03 19:34:06.000;2016-02-03 19:48:23.000;deviant;complete;Validar solicitud
82054;Homologacion por grupo de cursos;1343;2016-02-05 16:17:06.000;2016-02-05 16:50:08.000;deviant;complete;Homologacion por grupo de cursos
82054;End;End;2016-02-05 16:50:08.000;2016-02-05 16:50:08.000;deviant;complete;End
82101;Start;Start;2016-02-03 20:31:58.000;2016-02-03 20:31:58.000;deviant;complete;Start
82101;Traer informacion estudiante - banner;16695;2016-02-03 20:31:58.000;2016-02-03 20:31:58.000;deviant;complete;Traer informacion estudiante - banner
82101;Radicar Solicitud Homologacion;16695;2016-02-03 20:32:03.000;2016-02-03 20:33:00.000;deviant;complete;Radicar Solicitud Homologacion
82101;Validar solicitud;659;2016-02-04 08:57:57.000;2016-02-04 09:05:49.000;deviant;complete;Validar solicitud
82101;Homologacion por grupo de cursos;1422;2016-02-05 08:50:37.000;2016-02-05 08:51:10.000;deviant;complete;Homologacion por grupo de cursos
82101;End;End;2016-02-05 08:51:10.000;2016-02-05 08:51:10.000;deviant;complete;End
82102;Start;Start;2016-02-03 20:55:28.000;2016-02-03 20:55:28.000;deviant;complete;Start
82102;Traer informacion estudiante - banner;528;2016-02-03 20:55:28.000;2016-02-03 20:55:28.000;deviant;complete;Traer informacion estudiante - banner
82102;Radicar Solicitud Homologacion;528;2016-02-03 20:55:29.000;2016-02-03 20:55:29.000;deviant;complete;Radicar Solicitud Homologacion
82102;Validar solicitud;716;2016-02-03 22:18:54.000;2016-02-03 22:46:17.000;deviant;complete;Validar solicitud
82102;Homologacion por grupo de cursos;7394;2016-02-09 11:23:47.000;2016-02-09 12:52:30.000;deviant;complete;Homologacion por grupo de cursos
82102;End;End;2016-02-09 12:52:30.000;2016-02-09 12:52:30.000;deviant;complete;End
82151;Start;Start;2016-02-03 18:39:02.000;2016-02-03 18:39:02.000;deviant;complete;Start
82151;Traer informacion estudiante - banner;6186;2016-02-03 18:39:02.000;2016-02-03 18:39:02.000;deviant;complete;Traer informacion estudiante - banner
82151;Radicar Solicitud Homologacion;6186;2016-02-03 18:39:07.000;2016-02-03 18:39:07.000;deviant;complete;Radicar Solicitud Homologacion
82151;Cancelar Solicitud;22404;2016-02-03 18:55:20.000;2016-02-03 19:45:05.000;deviant;complete;Cancelar Solicitud
82151;Notificacion estudiante cancelacion soli;22404;2016-02-12 09:45:53.000;2016-02-12 09:45:53.000;deviant;complete;Notificacion estudiante cancelacion soli
82151;End;End;2016-02-12 09:45:53.000;2016-02-12 09:45:53.000;deviant;complete;End
82251;Start;Start;2016-02-03 23:20:38.000;2016-02-03 23:20:38.000;deviant;complete;Start
82251;Traer informacion estudiante - banner;8916;2016-02-03 23:20:38.000;2016-02-03 23:20:38.000;deviant;complete;Traer informacion estudiante - banner
82251;Radicar Solicitud Homologacion;8916;2016-02-03 23:20:41.000;2016-02-03 23:20:41.000;deviant;complete;Radicar Solicitud Homologacion
82251;Validar solicitud;669;2016-02-03 23:28:26.000;2016-02-03 23:38:22.000;deviant;complete;Validar solicitud
82251;Cancelar Solicitud;8916;2016-02-03 23:28:26.000;2016-02-04 00:07:51.000;deviant;complete;Cancelar Solicitud
82251;Notificacion estudiante cancelacion soli;8916;2016-02-10 17:25:56.000;2016-02-10 17:25:56.000;deviant;complete;Notificacion estudiante cancelacion soli
82251;End;End;2016-02-10 17:25:56.000;2016-02-10 17:25:56.000;deviant;complete;End
82301;Start;Start;2016-02-04 00:55:23.000;2016-02-04 00:55:23.000;deviant;complete;Start
82301;Traer informacion estudiante - banner;8186;2016-02-04 00:55:23.000;2016-02-04 00:55:23.000;deviant;complete;Traer informacion estudiante - banner
82301;Radicar Solicitud Homologacion;8186;2016-02-04 00:55:26.000;2016-02-04 01:07:46.000;deviant;complete;Radicar Solicitud Homologacion
82301;Recepcion de documentos;26789;2016-02-05 12:25:26.000;2016-02-06 00:33:26.000;deviant;complete;Recepcion de documentos
82301;Homologacion por grupo de cursos;1007;2016-02-05 12:25:27.000;2016-02-06 00:42:52.000;deviant;complete;Homologacion por grupo de cursos
82301;Validar solicitud;387;2016-02-05 14:20:17.000;2016-02-05 14:20:17.000;deviant;complete;Validar solicitud
82301;End;End;2016-02-05 14:20:17.000;2016-02-05 14:20:17.000;deviant;complete;End
82503;Start;Start;2016-02-04 07:47:27.000;2016-02-04 07:47:27.000;deviant;complete;Start
82503;Traer informacion estudiante - banner;8528;2016-02-04 07:47:27.000;2016-02-04 07:47:27.000;deviant;complete;Traer informacion estudiante - banner
82503;Radicar Solicitud Homologacion;8528;2016-02-04 07:47:30.000;2016-02-04 07:47:36.000;deviant;complete;Radicar Solicitud Homologacion
82503;Cancelar Solicitud;8528;2016-02-04 08:06:17.000;2016-02-04 08:06:28.000;deviant;complete;Cancelar Solicitud
82503;Notificacion estudiante cancelacion soli;8528;2016-02-04 08:18:12.000;2016-02-04 08:18:12.000;deviant;complete;Notificacion estudiante cancelacion soli
82503;End;End;2016-02-04 08:18:12.000;2016-02-04 08:18:12.000;deviant;complete;End
82505;Start;Start;2016-02-04 08:06:44.000;2016-02-04 08:06:44.000;deviant;complete;Start
82505;Traer informacion estudiante - banner;8528;2016-02-04 08:06:44.000;2016-02-04 08:06:44.000;deviant;complete;Traer informacion estudiante - banner
82505;Radicar Solicitud Homologacion;8528;2016-02-04 08:06:45.000;2016-02-04 08:06:50.000;deviant;complete;Radicar Solicitud Homologacion
82505;Cancelar Solicitud;1707;2016-02-04 08:12:27.000;2016-02-04 08:56:14.000;deviant;complete;Cancelar Solicitud
82505;Notificacion estudiante cancelacion soli;1707;2016-02-11 12:15:32.000;2016-02-11 12:15:32.000;deviant;complete;Notificacion estudiante cancelacion soli
82505;End;End;2016-02-11 12:15:32.000;2016-02-11 12:15:32.000;deviant;complete;End
82506;Start;Start;2016-02-04 08:16:32.000;2016-02-04 08:16:32.000;deviant;complete;Start
82506;Traer informacion estudiante - banner;2804;2016-02-04 08:16:32.000;2016-02-04 08:16:32.000;deviant;complete;Traer informacion estudiante - banner
82506;Radicar Solicitud Homologacion;2804;2016-02-04 08:16:33.000;2016-02-04 08:16:40.000;deviant;complete;Radicar Solicitud Homologacion
82506;Validar solicitud;677;2016-02-04 08:24:30.000;2016-02-04 08:40:05.000;deviant;complete;Validar solicitud
82506;Homologacion por grupo de cursos;3445;2016-02-08 07:36:31.000;2016-02-08 09:24:31.000;deviant;complete;Homologacion por grupo de cursos
82506;End;End;2016-02-08 09:24:31.000;2016-02-08 09:24:31.000;deviant;complete;End
82507;Start;Start;2016-02-04 08:18:19.000;2016-02-04 08:18:19.000;deviant;complete;Start
82507;Traer informacion estudiante - banner;8528;2016-02-04 08:18:19.000;2016-02-04 08:18:19.000;deviant;complete;Traer informacion estudiante - banner
82507;Radicar Solicitud Homologacion;8528;2016-02-04 08:18:20.000;2016-02-04 08:18:21.000;deviant;complete;Radicar Solicitud Homologacion
82507;Validar solicitud;6694;2016-02-04 08:19:58.000;2016-02-04 08:29:27.000;deviant;complete;Validar solicitud
82507;Homologacion por grupo de cursos;6990;2016-02-05 09:49:44.000;2016-02-05 12:23:54.000;deviant;complete;Homologacion por grupo de cursos
82507;End;End;2016-02-05 12:23:54.000;2016-02-05 12:23:54.000;deviant;complete;End
82508;Start;Start;2016-02-04 08:24:47.000;2016-02-04 08:24:47.000;deviant;complete;Start
82508;Traer informacion estudiante - banner;8528;2016-02-04 08:24:47.000;2016-02-04 08:24:47.000;deviant;complete;Traer informacion estudiante - banner
82508;Radicar Solicitud Homologacion;8528;2016-02-04 08:24:49.000;2016-02-04 08:24:57.000;deviant;complete;Radicar Solicitud Homologacion
82508;Validar solicitud;1707;2016-02-04 08:33:34.000;2016-02-04 09:17:00.000;deviant;complete;Validar solicitud
82508;Homologacion por grupo de cursos;15930;2016-02-11 12:12:01.000;2016-02-11 14:57:32.000;deviant;complete;Homologacion por grupo de cursos
82508;End;End;2016-02-11 14:57:32.000;2016-02-11 14:57:32.000;deviant;complete;End
82604;Start;Start;2016-02-04 14:15:57.000;2016-02-04 14:15:57.000;deviant;complete;Start
82604;Traer informacion estudiante - banner;8450;2016-02-04 14:15:57.000;2016-02-04 14:15:57.000;deviant;complete;Traer informacion estudiante - banner
82604;Radicar Solicitud Homologacion;8450;2016-02-04 14:16:00.000;2016-02-04 14:16:08.000;deviant;complete;Radicar Solicitud Homologacion
82604;Validar solicitud;18929;2016-02-04 14:24:12.000;2016-02-04 16:03:47.000;deviant;complete;Validar solicitud
82604;Homologacion por grupo de cursos;18929;2016-02-23 06:00:08.000;2016-02-23 14:50:58.000;deviant;complete;Homologacion por grupo de cursos
82604;End;End;2016-02-23 14:50:58.000;2016-02-23 14:50:58.000;deviant;complete;End
82651;Start;Start;2016-02-04 16:01:04.000;2016-02-04 16:01:04.000;deviant;complete;Start
82651;Traer informacion estudiante - banner;2925;2016-02-04 16:01:04.000;2016-02-04 16:01:04.000;deviant;complete;Traer informacion estudiante - banner
82651;Radicar Solicitud Homologacion;2925;2016-02-04 16:01:08.000;2016-02-04 16:01:33.000;deviant;complete;Radicar Solicitud Homologacion
82651;Validar solicitud;49;2016-02-04 16:26:58.000;2016-02-04 16:50:31.000;deviant;complete;Validar solicitud
82651;Homologacion por grupo de cursos;2541;2016-02-09 16:00:18.000;2016-02-09 16:01:46.000;deviant;complete;Homologacion por grupo de cursos
82651;End;End;2016-02-09 16:01:46.000;2016-02-09 16:01:46.000;deviant;complete;End
82652;Start;Start;2016-02-04 16:08:03.000;2016-02-04 16:08:03.000;deviant;complete;Start
82652;Traer informacion estudiante - banner;3421;2016-02-04 16:08:03.000;2016-02-04 16:08:03.000;deviant;complete;Traer informacion estudiante - banner
82652;Radicar Solicitud Homologacion;3421;2016-02-04 16:08:04.000;2016-02-04 16:08:21.000;deviant;complete;Radicar Solicitud Homologacion
82652;Validar solicitud;19019;2016-02-04 16:25:36.000;2016-02-04 16:33:13.000;deviant;complete;Validar solicitud
82652;Homologacion por grupo de cursos;1007;2016-02-05 16:02:57.000;2016-02-06 00:31:20.000;deviant;complete;Homologacion por grupo de cursos
82652;End;End;2016-02-06 00:31:20.000;2016-02-06 00:31:20.000;deviant;complete;End
82655;Start;Start;2016-02-04 13:49:43.000;2016-02-04 13:49:43.000;deviant;complete;Start
82655;Validar solicitud;22475;2016-02-04 13:49:43.000;2016-02-04 13:59:50.000;deviant;complete;Validar solicitud
82655;Traer informacion estudiante - banner;2834;2016-02-04 16:27:22.000;2016-02-04 16:27:22.000;deviant;complete;Traer informacion estudiante - banner
82655;Radicar Solicitud Homologacion;2834;2016-02-04 16:27:23.000;2016-02-04 16:27:23.000;deviant;complete;Radicar Solicitud Homologacion
82655;Homologacion por grupo de cursos;1343;2016-02-05 16:07:02.000;2016-02-05 16:40:13.000;deviant;complete;Homologacion por grupo de cursos
82655;End;End;2016-02-05 16:40:13.000;2016-02-05 16:40:13.000;deviant;complete;End
82701;Start;Start;2016-02-04 18:33:33.000;2016-02-04 18:33:33.000;deviant;complete;Start
82701;Traer informacion estudiante - banner;26147;2016-02-04 18:33:33.000;2016-02-04 18:33:33.000;deviant;complete;Traer informacion estudiante - banner
82701;Radicar Solicitud Homologacion;26147;2016-02-04 18:33:38.000;2016-02-04 18:53:12.000;deviant;complete;Radicar Solicitud Homologacion
82701;Validar solicitud;7080;2016-02-09 11:34:53.000;2016-02-09 12:07:18.000;deviant;complete;Validar solicitud
82701;Cancelar Solicitud;7080;2016-02-09 11:34:54.000;2016-02-09 12:16:56.000;deviant;complete;Cancelar Solicitud
82701;Notificacion estudiante cancelacion soli;7080;2016-02-16 15:37:36.000;2016-02-16 15:37:36.000;deviant;complete;Notificacion estudiante cancelacion soli
82701;End;End;2016-02-16 15:37:36.000;2016-02-16 15:37:36.000;deviant;complete;End
82801;Start;Start;2016-02-04 17:29:25.000;2016-02-04 17:29:25.000;deviant;complete;Start
82801;Traer informacion estudiante - banner;5571;2016-02-04 17:29:25.000;2016-02-04 17:29:25.000;deviant;complete;Traer informacion estudiante - banner
82801;Radicar Solicitud Homologacion;5571;2016-02-04 17:29:30.000;2016-02-04 17:30:00.000;deviant;complete;Radicar Solicitud Homologacion
82801;Validar solicitud;669;2016-02-04 20:48:08.000;2016-02-04 20:49:58.000;deviant;complete;Validar solicitud
82801;Homologacion por grupo de cursos;1343;2016-02-05 09:50:43.000;2016-02-05 10:28:11.000;deviant;complete;Homologacion por grupo de cursos
82801;End;End;2016-02-05 10:28:11.000;2016-02-05 10:28:11.000;deviant;complete;End
82802;Start;Start;2016-02-04 17:41:16.000;2016-02-04 17:41:16.000;deviant;complete;Start
82802;Traer informacion estudiante - banner;9872;2016-02-04 17:41:16.000;2016-02-04 17:41:16.000;deviant;complete;Traer informacion estudiante - banner
82802;Radicar Solicitud Homologacion;9872;2016-02-04 17:41:17.000;2016-02-04 17:41:28.000;deviant;complete;Radicar Solicitud Homologacion
82802;Validar solicitud;1707;2016-02-04 17:52:53.000;2016-02-04 18:19:35.000;deviant;complete;Validar solicitud
82802;Homologacion por grupo de cursos;15930;2016-02-10 10:35:39.000;2016-02-10 13:30:33.000;deviant;complete;Homologacion por grupo de cursos
82802;End;End;2016-02-10 13:30:33.000;2016-02-10 13:30:33.000;deviant;complete;End
82851;Start;Start;2016-02-05 04:18:45.000;2016-02-05 04:18:45.000;deviant;complete;Start
82851;Traer informacion estudiante - banner;8588;2016-02-05 04:18:45.000;2016-02-05 04:18:45.000;deviant;complete;Traer informacion estudiante - banner
82851;Radicar Solicitud Homologacion;8588;2016-02-05 04:18:52.000;2016-02-05 04:54:52.000;deviant;complete;Radicar Solicitud Homologacion
82851;Cancelar Solicitud;677;2016-02-11 13:29:29.000;2016-02-11 14:29:29.000;deviant;complete;Cancelar Solicitud
82851;Notificacion estudiante cancelacion soli;677;2016-02-23 07:11:02.000;2016-02-23 07:11:02.000;deviant;complete;Notificacion estudiante cancelacion soli
82851;End;End;2016-02-23 07:11:02.000;2016-02-23 07:11:02.000;deviant;complete;End
82902;Start;Start;2016-02-05 07:40:37.000;2016-02-05 07:40:37.000;deviant;complete;Start
82902;Homologacion por grupo de cursos;1343;2016-02-05 07:40:37.000;2016-02-05 08:19:56.000;deviant;complete;Homologacion por grupo de cursos
82902;Traer informacion estudiante - banner;6159;2016-02-05 10:10:51.000;2016-02-05 10:10:51.000;deviant;complete;Traer informacion estudiante - banner
82902;Radicar Solicitud Homologacion;6159;2016-02-05 10:10:52.000;2016-02-05 10:10:54.000;deviant;complete;Radicar Solicitud Homologacion
82902;Validar solicitud;669;2016-02-05 10:13:41.000;2016-02-05 10:13:41.000;deviant;complete;Validar solicitud
82902;End;End;2016-02-05 10:13:41.000;2016-02-05 10:13:41.000;deviant;complete;End
82903;Start;Start;2016-02-05 12:03:29.000;2016-02-05 12:03:29.000;deviant;complete;Start
82903;Traer informacion estudiante - banner;8213;2016-02-05 12:03:29.000;2016-02-05 12:03:29.000;deviant;complete;Traer informacion estudiante - banner
82903;Radicar Solicitud Homologacion;8213;2016-02-05 12:03:30.000;2016-02-05 12:03:30.000;deviant;complete;Radicar Solicitud Homologacion
82903;Validar solicitud;1707;2016-02-05 12:21:25.000;2016-02-05 12:53:25.000;deviant;complete;Validar solicitud
82903;Cancelar Solicitud;8213;2016-02-05 12:21:25.000;2016-02-05 13:05:25.000;deviant;complete;Cancelar Solicitud
82903;Notificacion estudiante cancelacion soli;8213;2016-02-15 07:23:44.000;2016-02-15 07:23:44.000;deviant;complete;Notificacion estudiante cancelacion soli
82903;End;End;2016-02-15 07:23:44.000;2016-02-15 07:23:44.000;deviant;complete;End
82904;Start;Start;2016-02-05 12:13:49.000;2016-02-05 12:13:49.000;deviant;complete;Start
82904;Traer informacion estudiante - banner;8213;2016-02-05 12:13:49.000;2016-02-05 12:13:49.000;deviant;complete;Traer informacion estudiante - banner
82904;Radicar Solicitud Homologacion;8213;2016-02-05 12:13:50.000;2016-02-05 12:13:50.000;deviant;complete;Radicar Solicitud Homologacion
82904;Validar solicitud;1707;2016-02-05 12:20:09.000;2016-02-05 12:52:09.000;deviant;complete;Validar solicitud
82904;Homologacion por grupo de cursos;1707;2016-02-11 12:08:11.000;2016-02-11 12:21:27.000;deviant;complete;Homologacion por grupo de cursos
82904;End;End;2016-02-11 12:21:27.000;2016-02-11 12:21:27.000;deviant;complete;End
82906;Start;Start;2016-02-05 12:24:25.000;2016-02-05 12:24:25.000;deviant;complete;Start
82906;Traer informacion estudiante - banner;1910;2016-02-05 12:24:25.000;2016-02-05 12:24:25.000;deviant;complete;Traer informacion estudiante - banner
82906;Radicar Solicitud Homologacion;1910;2016-02-05 12:24:26.000;2016-02-05 12:28:26.000;deviant;complete;Radicar Solicitud Homologacion
82906;Validar solicitud;387;2016-02-06 09:25:06.000;2016-02-06 10:09:57.000;deviant;complete;Validar solicitud
82906;Homologacion por grupo de cursos;1007;2016-02-15 14:51:09.000;2016-02-15 18:26:17.000;deviant;complete;Homologacion por grupo de cursos
82906;Recepcion de documentos;19019;2016-02-15 14:51:09.000;2016-02-15 18:10:17.000;deviant;complete;Recepcion de documentos
82906;End;End;2016-02-15 18:10:17.000;2016-02-15 18:10:17.000;deviant;complete;End
82909;Start;Start;2016-02-05 17:42:58.000;2016-02-05 17:42:58.000;deviant;complete;Start
82909;Traer informacion estudiante - banner;12836;2016-02-05 17:42:58.000;2016-02-05 17:42:58.000;deviant;complete;Traer informacion estudiante - banner
